Modelo,Tratamiento,Normal,Loss,Loss1,Loss2,Percentil,Accuracy,F1-Score,Precision,AUC-ROC,Recall
Model2,ELIMINACION,MINMAX,mae,MAE,MAE,99.9,0.9922983992751434,0.9199372056514914,0.9932203389830508,0.9282033374306253,0.8567251461988304
Model3,ELIMINACION,MINMAX,mae,MAE,MAE,99.9,0.9924494110540623,0.9221183800623054,0.9866666666666667,0.9324300666741162,0.8654970760233918
Model4,ELIMINACION,MINMAX,mae,MAE,MAE,99.9,0.9966777408637874,0.9669669669669669,0.9938271604938271,0.9706009982493389,0.9415204678362573
Model1,ELIMINACION,MINMAX,mae,MAE,MAE,99.5,0.9891271519178496,0.8922155688622756,0.9141104294478528,0.9334432152568257,0.8713450292397661
Model2,ELIMINACION,MINMAX,mae,MAE,MAE,99.5,0.9941105406221685,0.9413533834586467,0.9690402476780186,0.9568061608373375,0.9152046783625731
Model3,ELIMINACION,MINMAX,mae,MAE,MAE,99.5,0.9924494110540623,0.9249249249249248,0.9506172839506173,0.9490185123105002,0.9005847953216374
Model4,ELIMINACION,MINMAX,mae,MAE,MAE,99.5,0.9965267290848686,0.9661266568483062,0.973293768545994,0.9788156032331359,0.9590643274853801
Model1,ELIMINACION,MINMAX,mae,MAE,MAE,99,0.9865599516762308,0.8733997155049787,0.850415512465374,0.9445310462994002,0.8976608187134503
Model2,ELIMINACION,MINMAX,mae,MAE,MAE,99,0.9922983992751434,0.9274537695590328,0.9030470914127424,0.9738215629306813,0.9532163742690059
Model3,ELIMINACION,MINMAX,mae,MAE,MAE,99,0.9909392932648746,0.9135446685878962,0.9005681818181818,0.9606636681938392,0.9269005847953217
Model4,ELIMINACION,MINMAX,mae,MAE,MAE,99,0.9951676230745998,0.9545454545454546,0.9281767955801105,0.989158006481171,0.9824561403508771
Model1,ELIMINACION,MINMAX,mae,MSE,MSE,99.9,0.9898822108124433,0.8934817170111288,0.9790940766550522,0.9103410064439229,0.8216374269005848
Model2,ELIMINACION,MINMAX,mae,MSE,MSE,99.9,0.9957716701902748,0.9575757575757576,0.9937106918238994,0.9618290684247774,0.9239766081871345
Model3,ELIMINACION,MINMAX,mae,MSE,MSE,99.9,0.9957716701902748,0.9577039274924471,0.990625,0.9632114388944761,0.9269005847953217
Model4,ELIMINACION,MINMAX,mae,MSE,MSE,99.9,0.9959226819691936,0.9593984962406015,0.9876160990712074,0.9660557976682683,0.9327485380116959
Model1,ELIMINACION,MINMAX,mae,MSE,MSE,99.5,0.9906372697070371,0.9085545722713864,0.9166666666666666,0.9480630982977614,0.9005847953216374
Model2,ELIMINACION,MINMAX,mae,MSE,MSE,99.5,0.9957716701902748,0.9587020648967551,0.9672619047619048,0.9742704026520654,0.9502923976608187
Model3,ELIMINACION,MINMAX,mae,MSE,MSE,99.5,0.995620658411356,0.9572901325478645,0.9643916913946587,0.9741907848176705,0.9502923976608187
Model4,ELIMINACION,MINMAX,mae,MSE,MSE,99.5,0.9965267290848686,0.9667149059334297,0.9570200573065902,0.9871098260513279,0.9766081871345029
Model1,ELIMINACION,MINMAX,mae,MSE,MSE,99,0.9880700694654183,0.8904299583911235,0.8469656992084432,0.9646804112191306,0.9385964912280702
